player_id,location,age,system,joined
3a87eaab2fc64a62af58615a4df41626,Oceania,16,MacOS,1
4a9690c4c78d4080ad120b7a3f0fba93,Oceania,17,MacOS,1
50afe18f64354e819e06f22a51752bf1,Oceania,19,MacOS,1
34b2eef7384c47aca184875bb35d688f,North America,17,Windows,1
1c5a8f7719334e78ba0cc0a35e1e1e3d,North America,20,Linux,1
889b0b8a82ef4544a37baa77ef4a3249,Africa,21,Windows,1
4eda77874cca4237acc4737c8c76fe99,Africa,20,Windows,1
f9920373425d4fa7bcd8db45644a56dc,North America,22,Linux,1
db8bea6bf3c94f7eae81cfd29d6a87b6,Asia,24,Linux,1
da5710729ab14073b82b04b3e047cca7,Asia,22,Linux,1
18b4e16d53e944979e36d52564c6436e,Asia,17,Linux,1
884d97e0f1e24af7863f4eae74456274,Africa,24,Linux,1
c0cb42d7399a4199a725b4b179429007,Europe,18,Windows,1
29c5c49dd437440b9fdefc8f77b666b5,Europe,17,MacOS,1
e58dfa30c5bb4ee7a0a35ed30cc7e183,Asia,18,Windows,1
c0d1c6441b744cff8d640ba3d7ce07a9,Africa,23,Linux,1
f8542f9f3050418fae3dcafe111fdf5a,Oceania,16,MacOS,1
4dbbfaef0d324997a0c12b084eb4d47c,Africa,19,Windows,1
fc18430c804c449ba14d09df602824fc,Europe,22,Linux,1
32de60d19dda48ff90921747c7cac8c5,North America,23,Linux,1
e5ff1a466d7b4d20a1e92307e61bb98f,Africa,23,Linux,1
a661a01c83294f79a0cb982ab1000c9e,Asia,14,Linux,1
7a2bfef1f5a5451fba2b1d50a7bbaa15,South America,22,Windows,1
e305862970f04f179ae2dacf693c7660,Europe,23,MacOS,1
6268d0b6e5204c648e75523a3f018325,North America,15,Windows,1
b90669e879a040298ead21c25372302b,Africa,20,Linux,1
d9a85445120e4a67b22c404d6140c1a8,Asia,23,MacOS,1
d9568c2470164eeeb4a605b285b6b470,Asia,24,Linux,1
eb2a81fda6804207a5ae2f26feb658d5,Oceania,20,MacOS,1
56c25c62517d489c8cce8bb15698ede2,Africa,22,MacOS,1
3b0c8967ca134b51913de47881e3a1df,Africa,14,Linux,1
0a2bfd524e224f2394727064f826967a,South America,24,MacOS,1
17ed5e8cb36241aab25b7718d7805656,Oceania,17,MacOS,1
a08fa73b28f64869b2fd4d211700bccb,Europe,23,Linux,1
6ce6ed4037fd44da8385d6f3ca5b6422,Africa,19,Windows,1
108d05daa3314c90b011833873f224b3,South America,19,Windows,1
e1eebec103a04c93b0eae915b18c7fa5,North America,21,MacOS,1
1e30c79afead4f81b7858f5197b1591e,Africa,15,MacOS,1
d79c1d8b1888402ea0798331b880d06e,North America,21,MacOS,1
a5bbe885339842cba6bf9127c5e78634,North America,16,Windows,1
2a8c462139f54aad8087cef28eef5c48,North America,17,MacOS,1
bcdc4661429a4c97ae1d13646f144b6c,Africa,27,Windows,1
cf12d69ff9034e7ea711689a5edcc0fd,Oceania,27,Linux,1
2aff59bf084d4decbdc0b812a1f78892,Europe,23,MacOS,1
fbb4e0ce36e64e22a0a6935a7c157e76,Africa,19,Linux,1
cd666bfd75fd482d8c776a1a22251d6f,Asia,20,Windows,1
ad5bfa6540a24c779672598583bb7a50,South America,20,Windows,1
b6aa5113bff1481b896898d50da40ab4,South America,22,MacOS,1
