item_id,price
ead8bd61830b4ce1922987ebd2ae9c4c,82.24
3ef8d3db39924749bb9177b73448a554,71.75
2c43332fd5074f7f81db80798af387c2,43.73
4d6ebc53b03b492fae5418126f9ab817,60.48
a6b5cb747dbf42d786ca86908aed85e4,61.37
e42f367ac2c44e5fbd15006f2d30df3b,35.96
dfc0cefd1f4048b88dbbd72e25945aeb,79.24
674d6b47d0214db5a2d9969c2ee7fbd8,12.45
af8d818123f644c586f2b1765c79b307,38.26
1d5543804de6419fa4355354b2e0cb17,41.14
06ef67035d0d4045b36c2986a50bc24f,74.3
ea0ec2b11c7841ff9836f66d81182a71,90.17
51f88209aac5480bb7ea5cec508d4216,14.34
5e0a9208ca3f4610b3a05b1448db59d2,37.48
fd3d42e649704ed09001538c9a63d591,8.34
15ee842e38ce42f3be3ca10c7a2beba0,18.06
339a88b339544a91a7d102906d577caf,10.17
b779bc506c2a445d8fcfa53f631efe5e,45.01
6221568b40c34cf38bda1173011cb618,40.67
b95b7e7e01a94faf96ed0023913b32c8,25.66
054bb75f0c694cd584218e2459e85b0f,19.95
806affeb0b7e442a804419740d01a772,27.44
8febd268df144d9992b38e0e87223926,75.12
056caff471e74584a1b33a2e0f1d829f,28.55
1046870685dc46e88f110cdf8ec050ef,66.85
a981125e4062424fb90c0254f3daecfa,33.58
0744302382184814b6c7dcae5eccab4e,26.24
ec62d0d925c54fde8edfc9909367e511,42.95
7024749322a54e5489bdb19b0f4af456,89.75
95e078bbc1c64af0bd18a7f650eb1a40,45.97
44c12fe001a1482f8804881915b23721,50.46
31f30edd73414cd0b710150e6e791587,98.16
a8082985a59c42f9bfc99a75ecb3cd4d,64.43
c131a75c1e4c4c368f51632ecf6073f8,59.9
c002b139a434483d945fed43db36e15c,85.77
2d654ba50e8040cb8ed3413dd63f4c8d,9.58
ae076e509d2a439c98934d70c09da6d5,38.47
9a2dc59a6a54451bb2313b1dc6817cc1,88.43
7276b1079db5485791e0e56b38eded16,50.42
3e8255f14c9845b5982ce3af2d8bd8b6,62.56
573a5b9921554f6e94fe1e2c695a98bc,78.29
fe80b899343e41b69d4587fe7b08b2a9,15.68
f19cea20f272466eb66129c6dc786bd1,64.18
9081b2a4f2754b429b82974998f83ef2,60.67
316e9aff016d432cb1ed282992c714b2,73.65
140783cf59a049e9ae1b62eeb67ca0eb,97.92
536420c105ba4a84aa7b24a6be95ab64,37.3
567f11a77fef43f3a7285e0d513ebfae,12.49
dc3b20b2ddd54e3c8460a614a005264d,71.44
8b3a8a7c4655469889a4017afd284c94,6.4
4d546d56fe1f49c9b07863221102003c,30.05
88a9905706644974bb1db0e57aeca622,51.59
4ee447bba8434eaeb2cc8252427a6f6e,99.82
4c5302bea75440a4b23bd2c324ce8c16,39.04
83845a7cc6524285935b9e6ea5abfee4,45.56
1ff7034ef49e4c238b9227d162a04e98,52.62
5132351703674fd49508d98ce620d8d8,33.94
3a55db93c3ca4ecfa609d38a6978f07a,59.07
3c9025a36a864803989f9382b3edeecc,95.11
c739b275b2a9494d805240aa5dbcf566,99.47
348f5f0c41954168b1a41dd57e5a11b4,48.73
3f23d97934d64f3f905ff3e2f8ce92d4,65.68
ffd6fcd06b6842c7bfe5931f482648a8,71.54
9e37b3aa4cb24544ad06986990fbb0de,78.93
0a433720cc544267bbe2d65340f26d44,40.01
115dc2f69d2446c181001e7d4fcb04c1,58.93
0b05f5fddd1947d19e31a2eeba77d30b,24.3
7a6a3cdcb4f14c96882800c9e5f12aaf,13.65
7421596baed54bd9919cdb66061af525,77.22
e0b8cbbd0064487f8e89c3521df28ade,59.4
53761cc04a574f4ca7633bdc0a5e5f01,4.41
13be1414f46545da87214a225c4eb218,10.1
54b7318df3df4629a3b484422db3e4e6,76.45
81041f87d1df4d9bb9b9061473d4e3c0,30.38
86d54ba6337a46df87b6dfbb0ca3618b,24.86
9607d9e73a0e4e81aecdce3005d51dde,82.32
2bd6efaa6ce24ca18850f03d49e2b5fa,42.79
6345a7b74b7a4a35beda33ea8bea9d19,39.78
a6c0b2a8bcfc44748a569e297bcf2091,22.74
e0e78fd02dd244339e1626b21796538a,10.98
37fb7f93c2744a0599121be9c3d88860,33.19
b237c9623b1a4c46b877044a6290d8ae,55.53
873df148577b4d35a1f8bd4e77ca702a,87.39
ab6e04f47de14c008e993c9501ea8d19,52.54
e0798c5817784c0f9bfaa9a39786fd7b,49.34
1637f6654051444d894d58929c7e1d76,91.32
285699d9921245b49f7ed32c1a3d80da,22.43
0cc2892825654bfd8e93b3b4e36f4b1c,80.09
6883b5b48e224792b9ee9c08128babf5,34.01
bd0c0cf3b12446f99f875848894444be,45.89
244f6e5d68ca479b9fcb357967eb3fc3,56.32
80b4ca6c23c64568baf39ace0e181bd7,19.49
97a19cff043e4ba1919ebaf64b4c8ca4,23.81
d5afb8ede342492e8ed75e67d1cf99bd,74.14
117939924f9742cf88f560f85934aed9,49.55
23bbe83292fc46eeb089081ed760d401,20.3
dc2ea3c62f4d4af89cbfa664306c3d12,3.26
afc1b1f656034cf99c22b5620409ca08,19.86
45c214e856ee4884bdd0cf20115e8f44,47.6
75138894a5264cbeb375ad9635397032,38.52
6895184111c44c53a3ef9f707e39a5a6,84.79
fd363291cad94a278940357e0c10efa0,64.14
7c2758221b114a39a93434e919a993f0,91.35
098cf26b1d3247d39a5531989bf70194,26.37
2407ca61815b488f8e9f29a4f1b8c132,63.36
8bc2d64312ae4a9eb81922b7ef87bfd1,6.0
8410357077804edfaf10d36925410118,72.97
0864deb6d9f34ebe8833b35a657a2dd5,83.47
8bd9b31a010b4da7950aba4fa2504f13,57.74
80076be3a7314669b4f6a5a50c688075,11.75
1a97452c6ec54ba9895bedfbc72a1877,15.94
590017c9d5ff48198f7b4c137a24fb5e,74.28
52de732a376f46b9b95dc323ff5d1cb3,76.03
afab4d47d8f843a7a3727d0b3effa83a,24.58
3f47e9847521413c92c266f144f6405c,94.64
4d702be7276140c896db8380d1fd8ec9,34.89
cde170ff42df40f7be4922602b997ed5,48.17
61f5de8fcce348e78315812375370158,36.8
9fa2256e20ea41c48a123194dbed19d2,9.21
8972c9b524074b8e8caba4b9bd3b6662,64.07
82c78c6289f541c5a5435f4efd588709,44.38
6f95395f659d4092b417259919ec1093,64.93
a488eff020574f04b0d2edd5b1aba3c1,17.81
8483abd4c5b24ea69c713460d18ffa3c,84.48
5bcad1a1f5dd4487b50fc64324f5cc82,76.63
